agebroad,gender,percentagetotalpopulation,continent,variant,year
85plus,male,0.078,935,estimates,1954
90plus,male,0.016,935,estimates,1954
total,male,100,935,estimates,1954
0_1,female,7.116,935,estimates,1955
0_4,female,16.133,935,estimates,1955
0_14,female,38.017,935,estimates,1955
0_17,female,43.708,935,estimates,1955
0_19,female,47.399,935,estimates,1955
0_24,female,56.042,935,estimates,1955
3_4,female,5.813,935,estimates,1955
3_5,female,8.462,935,estimates,1955
3_6,female,10.966,935,estimates,1955
4_5,female,5.463,935,estimates,1955
4_6,female,7.967,935,estimates,1955
5_14,female,21.884,935,estimates,1955
5_10,female,14.052,935,estimates,1955
5_11,female,16.07,935,estimates,1955
6_9,female,9.314,935,estimates,1955
6_10,female,11.403,935,estimates,1955
6_11,female,13.421,935,estimates,1955
6_12,female,15.386,935,estimates,1955
7_10,female,8.899,935,estimates,1955
7_12,female,12.882,935,estimates,1955
11_16,female,11.634,935,estimates,1955
11_17,female,13.522,935,estimates,1955
11_18,female,15.385,935,estimates,1955
12_14,female,5.814,935,estimates,1955
12_16,female,9.617,935,estimates,1955
12_17,female,11.505,935,estimates,1955
12_18,female,13.367,935,estimates,1955
13_17,female,9.54,935,estimates,1955
13_18,female,11.402,935,estimates,1955
13_19,female,13.231,935,estimates,1955
15_17,female,5.691,935,estimates,1955
18_23,female,10.687,935,estimates,1955
15_24,female,18.025,935,estimates,1955
15_49,female,48.105,935,estimates,1955
15_59,female,55.164,935,estimates,1955
15_64,female,57.654,935,estimates,1955
20_64,female,48.272,935,estimates,1955
20_69,female,50.183,935,estimates,1955
25_49,female,30.08,935,estimates,1955
25_64,female,39.629,935,estimates,1955
25_69,female,41.54,935,estimates,1955
15plus,female,61.983,935,estimates,1955
16plus,female,60.079,935,estimates,1955
17plus,female,58.18,935,estimates,1955
18plus,female,56.292,935,estimates,1955
20plus,female,52.601,935,estimates,1955
21plus,female,50.803,935,estimates,1955
25plus,female,43.958,935,estimates,1955
50plus,female,13.878,935,estimates,1955
60plus,female,6.819,935,estimates,1955
65plus,female,4.329,935,estimates,1955
70plus,female,2.418,935,estimates,1955
75plus,female,1.152,935,estimates,1955
80plus,female,0.447,935,estimates,1955
85plus,female,0.132,935,estimates,1955
90plus,female,0.028,935,estimates,1955
total,female,100,935,estimates,1955
0_1,male,7.179,935,estimates,1955
0_4,male,16.194,935,estimates,1955
0_14,male,38.276,935,estimates,1955
0_17,male,44.116,935,estimates,1955
0_19,male,47.893,935,estimates,1955
0_24,male,56.691,935,estimates,1955
3_4,male,5.804,935,estimates,1955
3_5,male,8.445,935,estimates,1955
3_6,male,10.943,935,estimates,1955
4_5,male,5.448,935,estimates,1955
4_6,male,7.946,935,estimates,1955
5_14,male,22.082,935,estimates,1955
5_10,male,14.08,935,estimates,1955
5_11,male,16.132,935,estimates,1955
6_9,male,9.327,935,estimates,1955
6_10,male,11.439,935,estimates,1955
6_11,male,13.491,935,estimates,1955
6_12,male,15.498,935,estimates,1955
7_10,male,8.941,935,estimates,1955
7_12,male,13.001,935,estimates,1955
11_16,male,11.903,935,estimates,1955
11_17,male,13.841,935,estimates,1955
11_18,male,15.75,935,estimates,1955
12_14,male,5.95,935,estimates,1955
12_16,male,9.851,935,estimates,1955
12_17,male,11.789,935,estimates,1955
12_18,male,13.698,935,estimates,1955
13_17,male,9.782,935,estimates,1955
13_18,male,11.691,935,estimates,1955
13_19,male,13.56,935,estimates,1955
15_17,male,5.84,935,estimates,1955
18_23,male,10.89,935,estimates,1955
15_24,male,18.415,935,estimates,1955
15_49,male,49.072,935,estimates,1955
15_59,male,56.023,935,estimates,1955
15_64,male,58.334,935,estimates,1955
20_64,male,48.716,935,estimates,1955
20_69,male,50.36,935,estimates,1955
25_49,male,30.657,935,estimates,1955
25_64,male,39.919,935,estimates,1955
25_69,male,41.562,935,estimates,1955
15plus,male,61.724,935,estimates,1955
16plus,male,59.772,935,estimates,1955
17plus,male,57.822,935,estimates,1955
18plus,male,55.884,935,estimates,1955
20plus,male,52.107,935,estimates,1955
21plus,male,50.274,935,estimates,1955
25plus,male,43.309,935,estimates,1955
50plus,male,12.652,935,estimates,1955
60plus,male,5.701,935,estimates,1955
65plus,male,3.39,935,estimates,1955
