continent,year,variant,gender,freq,agebroad,totaldeaths
908,2005,estimates,female,5yearly,15_59,2332.109
908,2005,estimates,male,5yearly,15_59,5860.1
908,2005,estimates,female,5yearly,15_64,3196.926
908,2005,estimates,male,5yearly,15_64,7552.447
908,2005,estimates,female,5yearly,20plus,20065.766
908,2005,estimates,male,5yearly,20plus,20890.843
908,2005,estimates,female,5yearly,20_64,3162.947
908,2005,estimates,male,5yearly,20_64,7464.375
908,2005,estimates,female,5yearly,20_69,4483.685
908,2005,estimates,male,5yearly,20_69,9612.05
908,2005,estimates,female,5yearly,25plus,20008.641
908,2005,estimates,male,5yearly,25plus,20699.771
908,2005,estimates,female,5yearly,25_69,4426.56
908,2005,estimates,male,5yearly,25_69,9420.978
908,2005,estimates,female,5yearly,40plus,19667.56
908,2005,estimates,male,5yearly,40plus,19638.279
908,2005,estimates,female,5yearly,50plus,19054.882
908,2005,estimates,male,5yearly,50plus,18043.012
908,2005,estimates,female,5yearly,60plus,17767.636
908,2005,estimates,male,5yearly,60plus,15118.815
908,2005,estimates,female,5yearly,65plus,16902.819
908,2005,estimates,male,5yearly,65plus,13426.468
908,2005,estimates,female,5yearly,70plus,15582.081
908,2005,estimates,male,5yearly,70plus,11278.793
908,2005,estimates,female,5yearly,80plus,10462.257
908,2005,estimates,male,5yearly,80plus,5611.772
908,2005,estimates,female,5yearly,90plus,3219.797
908,2005,estimates,male,5yearly,90plus,1103.115
908,2010,estimates,female,5yearly,0_4,111.549
908,2010,estimates,male,5yearly,0_4,148.078
908,2010,estimates,female,5yearly,0_14,132.341
908,2010,estimates,male,5yearly,0_14,183.144
908,2010,estimates,female,5yearly,0_19,155.811
908,2010,estimates,male,5yearly,0_19,241.32
908,2010,estimates,female,5yearly,0_24,198.018
908,2010,estimates,male,5yearly,0_24,375.952
908,2010,estimates,female,5yearly,5_14,20.792
908,2010,estimates,male,5yearly,5_14,35.066
908,2010,estimates,female,5yearly,15plus,20159.515
908,2010,estimates,male,5yearly,15plus,20343.856
908,2010,estimates,female,5yearly,15_24,65.677
908,2010,estimates,male,5yearly,15_24,192.808
908,2010,estimates,female,5yearly,15_49,871.545
908,2010,estimates,male,5yearly,15_49,2264.54
908,2010,estimates,female,5yearly,15_59,2070.37
908,2010,estimates,male,5yearly,15_59,4878.855
908,2010,estimates,female,5yearly,15_64,2992.515
908,2010,estimates,male,5yearly,15_64,6675.166
908,2010,estimates,female,5yearly,20plus,20136.045
908,2010,estimates,male,5yearly,20plus,20285.68
908,2010,estimates,female,5yearly,20_64,2969.045
908,2010,estimates,male,5yearly,20_64,6616.99
908,2010,estimates,female,5yearly,20_69,4099.205
908,2010,estimates,male,5yearly,20_69,8509.596
908,2010,estimates,female,5yearly,25plus,20093.838
908,2010,estimates,male,5yearly,25plus,20151.048
908,2010,estimates,female,5yearly,25_69,4056.998
908,2010,estimates,male,5yearly,25_69,8374.964
