country,year,variant,agebroad,population
512,2020,constant-mortality,15plus,3711.444
512,2020,high variant,15plus,3717.387
512,2020,instant-replacement,15plus,3717.387
512,2020,low variant,15plus,3717.387
512,2020,medium variant,15plus,3717.387
512,2020,no change,15plus,3711.444
512,2020,zero-migration,15plus,3739.922
512,2020,medium variant,15_17,150.014
512,2020,constant-fertility,15_24,592.42
512,2020,constant-mortality,15_24,592.225
512,2020,high variant,15_24,592.42
512,2020,instant-replacement,15_24,592.42
512,2020,low variant,15_24,592.42
512,2020,medium variant,15_24,592.42
512,2020,no change,15_24,592.225
512,2020,zero-migration,15_24,474.841
512,2020,constant-fertility,15_49,3104.585
512,2020,constant-mortality,15_49,3102.67
512,2020,high variant,15_49,3104.585
512,2020,instant-replacement,15_49,3104.585
512,2020,low variant,15_49,3104.585
512,2020,medium variant,15_49,3104.585
512,2020,no change,15_49,3102.67
512,2020,zero-migration,15_49,3101.788
512,2020,constant-fertility,15_59,3452.05
