agebroad,gender,population,country,variant,year
6_12,male,776.345,604,estimates,1955
7_10,male,448.557,604,estimates,1955
7_12,male,651.752,604,estimates,1955
11_16,male,580.278,604,estimates,1955
11_17,male,669.482,604,estimates,1955
11_18,male,756.44,604,estimates,1955
12_14,male,293.05,604,estimates,1955
12_16,male,477.301,604,estimates,1955
12_17,male,566.505,604,estimates,1955
12_18,male,653.463,604,estimates,1955
13_17,male,466.287,604,estimates,1955
13_18,male,553.245,604,estimates,1955
13_19,male,637.785,604,estimates,1955
15_17,male,273.455,604,estimates,1955
18_23,male,486.318,604,estimates,1955
15_24,male,831.737,604,estimates,1955
15_49,male,2025.922,604,estimates,1955
15_59,male,2291.591,604,estimates,1955
15_64,male,2385.481,604,estimates,1955
20_64,male,1940.528,604,estimates,1955
20_69,male,2006.712,604,estimates,1955
25_49,male,1194.185,604,estimates,1955
25_64,male,1553.744,604,estimates,1955
25_69,male,1619.928,604,estimates,1955
15plus,male,2523.24,604,estimates,1955
16plus,male,2430.173,604,estimates,1955
17plus,male,2338.989,604,estimates,1955
18plus,male,2249.785,604,estimates,1955
20plus,male,2078.287,604,estimates,1955
21plus,male,1996.047,604,estimates,1955
25plus,male,1691.503,604,estimates,1955
50plus,male,497.318,604,estimates,1955
60plus,male,231.649,604,estimates,1955
65plus,male,137.759,604,estimates,1955
70plus,male,71.575,604,estimates,1955
75plus,male,32.944,604,estimates,1955
80plus,male,10.861,604,estimates,1955
85plus,male,2.669,604,estimates,1955
90plus,male,0.439,604,estimates,1955
total,male,4415.237,604,estimates,1955
0,female,184.987,604,estimates,1956
0_1,female,347.897,604,estimates,1956
0_4,female,798.567,604,estimates,1956
0_14,female,1906.534,604,estimates,1956
0_17,female,2177.196,604,estimates,1956
0_19,female,2347.717,604,estimates,1956
0_24,female,2734.342,604,estimates,1956
3_4,female,291.186,604,estimates,1956
3_5,female,424.779,604,estimates,1956
3_6,female,551.519,604,estimates,1956
4_5,female,274.881,604,estimates,1956
4_6,female,401.621,604,estimates,1956
5_14,female,1107.967,604,estimates,1956
5_10,female,713.485,604,estimates,1956
5_11,female,816.465,604,estimates,1956
6_9,female,473.341,604,estimates,1956
6_10,female,579.892,604,estimates,1956
6_11,female,682.872,604,estimates,1956
6_12,female,782.737,604,estimates,1956
7_10,female,453.152,604,estimates,1956
7_12,female,655.997,604,estimates,1956
11_16,female,576.849,604,estimates,1956
11_17,female,665.144,604,estimates,1956
11_18,female,751.499,604,estimates,1956
