country,year,variant,gender,freq,agebroad,totaldeaths
854,2010,Estimates,male,5yearly,0_24,268.57
854,2010,Estimates,female,5yearly,5_14,31.228
854,2010,Estimates,male,5yearly,5_14,29.936
854,2010,Estimates,female,5yearly,15plus,223.395
854,2010,Estimates,male,5yearly,15plus,186.929
854,2010,Estimates,female,5yearly,15_24,28.623
854,2010,Estimates,male,5yearly,15_24,27.057
854,2010,Estimates,female,5yearly,15_49,88.51
854,2010,Estimates,male,5yearly,15_49,85.721
854,2010,Estimates,female,5yearly,15_59,112.553
854,2010,Estimates,male,5yearly,15_59,110.028
854,2010,Estimates,female,5yearly,15_64,128.804
854,2010,Estimates,male,5yearly,15_64,123.807
854,2010,Estimates,female,5yearly,20plus,210.09
854,2010,Estimates,male,5yearly,20plus,174.722
854,2010,Estimates,female,5yearly,20_64,115.499
854,2010,Estimates,male,5yearly,20_64,111.6
