continent,year,variant,agebroad,population
909,2015,Medium_variant,12_14,1731.084
909,2015,Estimates,12_16,2888.712
909,2015,Medium_variant,12_16,2888.712
909,2015,Estimates,12_17,3470.136
909,2015,Medium_variant,12_17,3470.136
909,2015,Estimates,12_18,4054.468
909,2015,Medium_variant,12_18,4054.468
909,2015,Estimates,13_17,2892.084
909,2015,Medium_variant,13_17,2892.084
909,2015,Estimates,13_18,3476.416
909,2015,Medium_variant,13_18,3476.416
909,2015,Estimates,13_19,4064.088
909,2015,Medium_variant,13_19,4064.088
909,2015,Constant_fertility,15plus,30102.684
909,2015,Constant_mortality,15plus,30102.684
909,2015,Estimates,15plus,30102.684
909,2015,High_variant,15plus,30102.684
909,2015,Instant_replacement,15plus,30102.684
909,2015,Low_variant,15plus,30102.684
909,2015,Medium_variant,15plus,30102.684
909,2015,No_change,15plus,30102.684
909,2015,Zero_migration,15plus,30102.684
909,2015,Estimates,15_17,1739.052
909,2015,Medium_variant,15_17,1739.052
909,2015,Constant_fertility,15_24,5885.071
909,2015,Constant_mortality,15_24,5885.071
909,2015,Estimates,15_24,5885.071
909,2015,High_variant,15_24,5885.071
909,2015,Instant_replacement,15_24,5885.071
909,2015,Low_variant,15_24,5885.071
909,2015,Medium_variant,15_24,5885.071
909,2015,No_change,15_24,5885.071
909,2015,Zero_migration,15_24,5885.071
909,2015,Constant_fertility,15_49,19174
909,2015,Constant_mortality,15_49,19174
909,2015,Estimates,15_49,19174
909,2015,High_variant,15_49,19174
909,2015,Instant_replacement,15_49,19174
909,2015,Low_variant,15_49,19174
909,2015,Medium_variant,15_49,19174
909,2015,No_change,15_49,19174
909,2015,Zero_migration,15_49,19174
909,2015,Constant_fertility,15_59,23621.697
909,2015,Constant_mortality,15_59,23621.697
909,2015,Estimates,15_59,23621.697
909,2015,High_variant,15_59,23621.697
909,2015,Instant_replacement,15_59,23621.697
909,2015,Low_variant,15_59,23621.697
909,2015,Medium_variant,15_59,23621.697
909,2015,No_change,15_59,23621.697
909,2015,Zero_migration,15_59,23621.697
909,2015,Constant_fertility,15_64,25408.095
909,2015,Constant_mortality,15_64,25408.095
909,2015,Estimates,15_64,25408.095
909,2015,High_variant,15_64,25408.095
909,2015,Instant_replacement,15_64,25408.095
909,2015,Low_variant,15_64,25408.095
909,2015,Medium_variant,15_64,25408.095
909,2015,No_change,15_64,25408.095
909,2015,Zero_migration,15_64,25408.095
909,2015,Estimates,16plus,29524.425
909,2015,Medium_variant,16plus,29524.425
909,2015,Estimates,17plus,28945.056
909,2015,Medium_variant,17plus,28945.056
909,2015,Estimates,18plus,28363.632
909,2015,Medium_variant,18plus,28363.632
909,2015,Estimates,18_23,3552.335
