region,year,variant,freq,agebroad,totaldeaths
957,2015,lowvariant,5yearly,50_54,1.005
957,2015,mediumvariant,5yearly,50_54,1.005
957,2015,constantfertility,5yearly,55_59,1.397
957,2015,highvariant,5yearly,55_59,1.398
957,2015,lowvariant,5yearly,55_59,1.398
957,2015,mediumvariant,5yearly,55_59,1.398
957,2015,constantfertility,5yearly,60_64,1.806
957,2015,highvariant,5yearly,60_64,1.806
957,2015,lowvariant,5yearly,60_64,1.807
957,2015,mediumvariant,5yearly,60_64,1.806
957,2015,constantfertility,5yearly,65_69,2.056
957,2015,highvariant,5yearly,65_69,2.055
957,2015,lowvariant,5yearly,65_69,2.056
957,2015,mediumvariant,5yearly,65_69,2.056
957,2015,constantfertility,5yearly,70_74,2.271
957,2015,highvariant,5yearly,70_74,2.273
957,2015,lowvariant,5yearly,70_74,2.271
957,2015,mediumvariant,5yearly,70_74,2.271
957,2015,constantfertility,5yearly,75_79,2.531
957,2015,highvariant,5yearly,75_79,2.53
957,2015,lowvariant,5yearly,75_79,2.532
957,2015,mediumvariant,5yearly,75_79,2.53
957,2015,constantfertility,5yearly,80_84,2.451
957,2015,highvariant,5yearly,80_84,2.45
957,2015,lowvariant,5yearly,80_84,2.45
957,2015,mediumvariant,5yearly,80_84,2.451
957,2015,constantfertility,5yearly,85_89,1.856
957,2015,highvariant,5yearly,85_89,1.856
957,2015,lowvariant,5yearly,85_89,1.856
957,2015,mediumvariant,5yearly,85_89,1.856
957,2015,constantfertility,5yearly,90_94,0.929
957,2015,highvariant,5yearly,90_94,0.929
957,2015,lowvariant,5yearly,90_94,0.93
957,2015,mediumvariant,5yearly,90_94,0.929
957,2015,constantfertility,5yearly,95plus,0.301
957,2015,highvariant,5yearly,95plus,0.301
957,2015,lowvariant,5yearly,95plus,0.301
957,2015,mediumvariant,5yearly,95plus,0.301
957,2015,constantfertility,5yearly,0_14,1.334
957,2015,constantmortality,5yearly,0_14,1.425
957,2015,highvariant,5yearly,0_14,1.345
957,2015,instantreplacement,5yearly,0_14,0.918
