global,year,variant,freq,age5yearinterval,noofbirthbymother
900,2040,constant_fertility,5yearly,"Region, subregion, country or area *",WORLD
900,2040,constant_mortality,5yearly,"Region, subregion, country or area *",WORLD
900,2040,high_variant,5yearly,"Region, subregion, country or area *",WORLD
900,2040,instant_replacement,5yearly,"Region, subregion, country or area *",WORLD
900,2040,low_variant,5yearly,"Region, subregion, country or area *",WORLD
900,2040,medium_variant,5yearly,"Region, subregion, country or area *",WORLD
900,2040,momentum,5yearly,"Region, subregion, country or area *",WORLD
900,2040,no_change,5yearly,"Region, subregion, country or area *",WORLD
900,2040,zero_migration,5yearly,"Region, subregion, country or area *",WORLD
900,2040,constant_fertility,5yearly,15_19,112575.237
900,2040,constant_mortality,5yearly,15_19,48706.815
900,2040,high_variant,5yearly,15_19,69303.97
900,2040,instant_replacement,5yearly,15_19,32337.518
900,2040,low_variant,5yearly,15_19,35554.8
900,2040,medium_variant,5yearly,15_19,50958.527
900,2040,momentum,5yearly,15_19,34385.359
900,2040,no_change,5yearly,15_19,107468.654
900,2040,zero_migration,5yearly,15_19,51387.577
900,2040,constant_fertility,5yearly,20_24,289115.987
900,2040,constant_mortality,5yearly,20_24,170576.06
900,2040,high_variant,5yearly,20_24,238992.566
900,2040,instant_replacement,5yearly,20_24,140870.042
900,2040,low_variant,5yearly,20_24,122403.772
900,2040,medium_variant,5yearly,20_24,175969.84
900,2040,momentum,5yearly,20_24,147652.93
900,2040,no_change,5yearly,20_24,280132.95
900,2040,zero_migration,5yearly,20_24,177360.807
900,2040,constant_fertility,5yearly,25_29,270977.982
900,2040,constant_mortality,5yearly,25_29,208877.925
900,2040,high_variant,5yearly,25_29,274127.947
900,2040,instant_replacement,5yearly,25_29,194780.725
900,2040,low_variant,5yearly,25_29,158091.166
900,2040,medium_variant,5yearly,25_29,213520.917
900,2040,momentum,5yearly,25_29,201175.054
900,2040,no_change,5yearly,25_29,264499.052
900,2040,zero_migration,5yearly,25_29,214039.146
900,2040,constant_fertility,5yearly,30_34,180561.285
900,2040,constant_mortality,5yearly,30_34,161208.78
900,2040,high_variant,5yearly,30_34,202023.959
900,2040,instant_replacement,5yearly,30_34,160667.751
900,2040,low_variant,5yearly,30_34,126285.5
900,2040,medium_variant,5yearly,30_34,164067.572
900,2040,momentum,5yearly,30_34,163925.729
900,2040,no_change,5yearly,30_34,176596.057
900,2040,zero_migration,5yearly,30_34,163346.858
900,2040,constant_fertility,5yearly,35_39,97164.807
900,2040,constant_mortality,5yearly,35_39,79872.312
900,2040,high_variant,5yearly,35_39,100081.635
900,2040,instant_replacement,5yearly,35_39,77731.398
900,2040,low_variant,5yearly,35_39,63424.198
900,2040,medium_variant,5yearly,35_39,81679.004
900,2040,momentum,5yearly,35_39,78954.643
900,2040,no_change,5yearly,35_39,94515.5120000001
900,2040,zero_migration,5yearly,35_39,81114.563
900,2040,constant_fertility,5yearly,40_44,34925.566
900,2040,constant_mortality,5yearly,40_44,22113.625
900,2040,high_variant,5yearly,40_44,27758.618
900,2040,instant_replacement,5yearly,40_44,21282.699
900,2040,low_variant,5yearly,40_44,17749.91
900,2040,medium_variant,5yearly,40_44,22736.696
900,2040,momentum,5yearly,40_44,21711.893
900,2040,no_change,5yearly,40_44,33703.116
900,2040,zero_migration,5yearly,40_44,22702.78
900,2040,constant_fertility,5yearly,45_49,9208.605
900,2040,constant_mortality,5yearly,45_49,4086.779
900,2040,high_variant,5yearly,45_49,5089.066
900,2040,instant_replacement,5yearly,45_49,3575.254
900,2040,low_variant,5yearly,45_49,3424.43
900,2040,medium_variant,5yearly,45_49,4260.621
900,2040,momentum,5yearly,45_49,3728.425
900,2040,no_change,5yearly,45_49,8815.075
900,2040,zero_migration,5yearly,45_49,4304.879
900,2045,constant_fertility,5yearly,"Region, subregion, country or area *",WORLD
900,2045,constant_mortality,5yearly,"Region, subregion, country or area *",WORLD
900,2045,high_variant,5yearly,"Region, subregion, country or area *",WORLD
